icao,name,city,country,lat,lon,elev_m,type,iata
EIKN,Ireland West Airport Knock,Charlestown,IE,53.91044,-8.817,203,L,NOC
EINN,Shannon Airport,Shannon,IE,52.702,-8.92482,14,L,SNN
LIBP,Abruzzo Airport,Pescara,IT,42.43108,14.18298,15,L,PSR
LIBD,Bari Karol Wojtyła International Airport,Bari,IT,41.1389,16.7606,59,L,BRI
LIPE,Bologna Guglielmo Marconi Airport,Bologna,IT,44.5354,11.2887,37,L,BLQ
LIBR,Brindisi Airport,Brindisi,IT,40.6576,17.947,14,L,BDS
LIEE,Cagliari Elmas Airport,Cagliari,IT,39.2515,9.05428,4,L,CAG
LICC,Catania-Fontanarossa Airport,Catania,IT,37.4668,15.0664,12,L,CTA
LIRA,Ciampino–G. B. Pastine International Airport,Rome,IT,41.79877,12.59533,130,L,CIA
LICJ,Falcone–Borsellino Airport,Palermo,IT,38.176,13.091,20,L,PMO
LIPR,Federico Fellini International Airport,Rimini (RN),IT,44.02002,12.6122,12,L,RMI
LIRQ,"Florence Airport, Peretola",Firenze (FI),IT,43.80856,11.20282,43,L,FLR
LIMJ,Genoa Cristoforo Colombo Airport,Genova (GE),IT,44.41204,8.84073,4,L,GOA
LIME,Il Caravaggio International Airport,Orio al Serio (BG),IT,45.66936,9.70885,238,L,BGY
LICA,Lamezia Terme Sant'Eufemia International Airport,Lamezia Terme (CZ),IT,38.90621,16.24601,12,L,SUF
LIMC,Milan Malpensa International Airport,Ferno (VA),IT,45.6306,8.72811,234,L,MXP
LIML,Milano Linate Airport,Segrate (MI),IT,45.4451,9.27674,108,L,LIN
LIRN,Naples International Airport,Napoli,IT,40.886,14.2908,90,L,NAP
LIEO,Olbia Costa Smeralda Airport,Olbia (SS),IT,40.89895,9.51846,11,L,OLB
LIRZ,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia (PG),IT,43.0959,12.5132,212,L,PEG
LIRP,Pisa International Airport,Pisa (PI),IT,43.6839,10.3927,2,L,PSA
LIRF,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,IT,41.80453,12.252,4,L,FCO
LIPH,Treviso Airport,Treviso (TV),IT,45.6484,12.1944,18,L,TSF
LIPQ,Trieste Airport,Ronchi dei Legionari/Trieste,IT,45.82786,13.46667,12,L,TRS
LIMF,Turin Airport,Caselle Torinese (TO),IT,45.2008,7.64963,301,L,TRN
LIPZ,Venice Marco Polo Airport,Venezia (VE),IT,45.5053,12.3519,2,L,VCE
LIPX,Verona Villafranca Valerio Catullo Airport,Caselle (VR),IT,45.39496,10.8873,73,L,VRN
EYKA,Kaunas International Airport,Kaunas,LT,54.96397,24.08582,78,L,KUN
EYPA,Palanga International Airport,Palanga,LT,55.9732,21.0939,10,L,PLQ
EYVI,Vilnius International Airport,Vilnius,LT,54.6341,25.2858,198,L,VNO
ELLX,Luxembourg-Findel International Airport,Luxembourg,LU,49.62685,6.21213,376,L,LUX
EVRA,Riga International Airport,Riga,LV,56.92075,23.97071,11,L,RIX
LMML,Malta International Airport,Valletta,MT,35.84593,14.49155,91,L,MLA
EHAM,Amsterdam Airport Schiphol,Amsterdam,NL,52.3086,4.76389,-3,L,AMS
EHEH,Eindhoven Airport,Eindhoven,NL,51.4501,5.37453,23,L,EIN
EHGG,Groningen Airport Eelde,Groningen,NL,53.11911,6.57765,5,L,GRQ
EHBK,Maastricht Aachen Airport,Maastricht,NL,50.91109,5.7694,114,L,MST
EHRD,Rotterdam The Hague Airport,Rotterdam,NL,51.9569,4.43722,-5,L,RTM
EPWR,Copernicus Wrocław Airport,Wrocław,PL,51.10372,16.8821,123,L,WRO
EPGD,Gdańsk Lech Wałęsa Airport,Gdańsk,PL,54.3776,18.4662,149,L,GDN
EPKT,Katowice Wojciech Korfanty International Airport,Katowice,PL,50.47601,19.0807,303,L,KTW
